ID,ItemName,IconName,DropWeight,Description,ItemType,EquipSlot,HP,MP,AD,AP,MS
121,낡은 티셔츠,top_3,50,여기저기 해진 평범한 면 티셔츠.,Equipment,Top,20,NULL,NULL,NULL,NULL
122,카고 팬츠,bot_1,30,주머니가 많아 수납이 넉넉한 바지.,Equipment,Bottom,40,NULL,NULL,NULL,NULL
123,사이버펑크 데님,bot_2,20,야광 도료가 묻어있는 힙한 청바지.,Equipment,Bottom,55,NULL,NULL,NULL,NULL
124,전술용 반바지,bot_3,30,움직임이 아주 자유롭고 시원한 바지.,Equipment,Bottom,30,NULL,NULL,NULL,NULL
125,화이트레이의 수면 잠옷,overall_1,30,포근하게 잠들 수 있는 잠옷으로 상하의가 붙어있다.,Equipment,Overall,100,NULL,NULL,NULL,NULL
126,은신용 강화 슈트,overall_2,10,빛을 굴절시켜 몸을 숨기기 좋은 전신 슈트.,Equipment,Overall,120,NULL,NULL,NULL,NULL
127,정비공의 작업복,overall_3,40,기름때가 묻어있는 튼튼한 일체형 작업복.,Equipment,Overall,150,NULL,NULL,NULL,NULL
128,스마트 밴드,wrist_1,30,맥박과 상태를 체크해 주는 유용한 밴드.,Equipment,Wrist,NULL,10,NULL,NULL,NULL
129,강철 손목 보호대,wrist_2,25,손목으로 날아오는 공격을 막아주는 보호대.,Equipment,Wrist,NULL,NULL,NULL,NULL,NULL
130,홀로-팔찌,wrist_3,20,가상 디스플레이를 띄울 수 있는 장치.,Equipment,Wrist,NULL,15,NULL,NULL,NULL
131,가벼운 러닝화,shoe_1,30,깃털처럼 가벼워 발걸음이 빨라지는 운동화.,Equipment,Shoes,NULL,NULL,NULL,NULL,15
132,반중력 부츠,shoe_2,10,점프력을 획기적으로 늘려주는 특수 부츠.,Equipment,Shoes,NULL,NULL,NULL,NULL,25
133,전술용 군화,shoe_3,25,어떤 지형에서도 미끄러지지 않는 신발.,Equipment,Shoes,NULL,NULL,NULL,NULL,10
134,고주파 진동검,wep1_1,15,칼날이 미세하게 진동하여 무엇이든 베어내는 한손검.,Equipment,OneHandWeapon,NULL,NULL,35,10,NULL
135,에너지 피스톨,wep1_2,20,에너지 탄환을 가볍게 쏘아내는 한손 무기.,Equipment,OneHandWeapon,NULL,NULL,20,40,NULL
136,사이버 단검,wep1_3,25,휴대하기 좋고 날카로운 단검.,Equipment,OneHandWeapon,NULL,NULL,25,NULL,NULL
137,거대한 네온 해머,wep2_1,10,양손으로 들어야 하는 파괴적이고 무거운 둔기.,Equipment,TwoHandWeapon,NULL,NULL,80,NULL,NULL
138,펄스 라이플,wep2_2,15,연사력이 뛰어난 양손용 소총.,Equipment,TwoHandWeapon,NULL,NULL,45,50,NULL
139,대검,wep2_3,20,사람의 키만 한 거대한 양손 검.,Equipment,TwoHandWeapon,NULL,NULL,65,NULL,NULL
201,에너지 드링크,drink_1,50,즉시 체력을 30 회복하고 사라지는 달콤한 음료.,Consumable,NULL,NULL,NULL,NULL,NULL,NULL
202,휴대용 구급킷,medkit_1,20,사용 시 쉴드를 100% 충전시켜 주는 1회용 소모품.,Consumable,NULL,NULL,NULL,NULL,NULL,NULL
203,부스트 알약,pill_1,30,일정 시간 동안 이동속도를 올려주는 소모품.,Consumable,NULL,NULL,NULL,NULL,NULL,NULL
301,사이버펑크 데칼,decal_1,10,장비에 부착하여 새로운 무작위 옵션을 부여하는 홀로그램 스티커.,Enhancement,NULL,NULL,NULL,NULL,NULL,NULL
302,초정밀 숫돌,stone_1,15,무기의 기본 공격력 스탯을 한 단계 올려주는 재료.,Enhancement,NULL,NULL,NULL,NULL,NULL,NULL
303,방어구 강화 칩,chip_1,20,방어구의 성능을 1강 올려주는 시스템 칩.,Enhancement,NULL,NULL,NULL,NULL,NULL,NULL
404,테스트 만든 아이템,TestIcon_001,100,모든 스텟을 가진 올인원 아이템,Equipment,Ring,6,7,8,9,10
